,state,account_length,international_plan,voice_mail_plan,total_day_calls,total_day_charge,total_eve_calls,total_eve_charge,total_night_calls,total_night_charge,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
2256,VA,50,yes,no,108,16.93,102,26.24,62,7.25,6,3.7,2,yes
2257,VA,172,no,no,123,28.87,94,15.56,72,17.77,7,3.43,2,no
2258,NM,188,yes,yes,115,33.8,67,14.16,118,8.93,3,3.89,1,yes
2259,FL,85,yes,no,86,19.75,127,19.52,109,9.19,3,2.73,3,no
2260,RI,103,yes,no,128,43.5,92,11.98,130,13.9,2,3.27,1,yes
2261,NJ,136,no,yes,84,31.91,147,18.79,110,6.56,4,2.7,3,no
2262,NE,155,no,yes,91,33.3,84,18.18,111,3.97,4,2.32,0,no
2263,WV,145,no,no,97,22.0,101,15.76,106,9.21,2,0.3,2,no
2264,WY,116,no,yes,108,37.57,118,12.84,80,8.06,6,2.43,2,no
2265,SC,152,no,no,92,23.89,96,15.88,89,10.22,5,2.57,2,no
2266,MS,65,yes,no,123,47.24,112,13.24,71,11.56,10,2.48,0,yes
2267,IL,67,no,no,117,18.55,124,18.48,141,8.48,6,3.46,0,no
2268,OR,60,no,no,109,35.33,112,10.5,115,13.12,9,1.54,0,no
2269,UT,138,no,no,96,35.0,94,21.85,63,9.4,8,3.27,0,no
2270,IA,44,no,no,139,52.46,94,12.82,66,8.94,3,1.97,4,yes
2271,ME,25,no,no,69,41.24,117,17.77,82,9.89,6,3.89,2,no
2272,WY,145,no,no,82,39.03,103,11.74,109,11.29,3,0.89,1,no
2273,WI,122,no,yes,62,28.22,88,19.88,84,7.65,3,2.08,2,no
2274,SC,121,no,no,126,24.62,82,17.05,81,9.4,9,3.59,0,yes
2275,DC,55,yes,no,77,18.04,100,10.5,92,4.34,3,3.48,0,no
2276,CT,77,no,no,84,37.71,125,14.11,72,9.46,4,3.56,1,no
2277,OR,12,no,no,98,34.78,90,18.06,95,8.19,7,2.65,2,no
2278,NV,92,no,yes,95,25.84,73,23.37,121,7.31,1,2.7,2,no
2279,MN,125,yes,yes,81,44.34,112,13.91,117,12.23,6,4.59,1,yes
2280,KS,79,no,no,83,30.24,84,14.22,142,10.07,8,4.1,0,no
2281,RI,36,no,no,97,39.97,104,16.73,110,11.69,7,1.89,3,no
2282,DC,102,no,no,92,31.76,123,14.76,131,11.29,4,2.62,2,no
2283,IL,138,yes,no,81,45.63,115,14.82,96,8.71,4,3.13,1,no
2284,UT,164,no,no,95,32.66,94,21.23,100,5.97,3,1.97,3,no
2285,MN,125,no,no,82,40.92,85,22.9,74,8.42,3,2.73,0,yes
2286,WI,72,no,no,113,30.58,112,12.73,79,7.57,7,2.65,2,no
2287,MA,145,no,no,89,29.89,119,23.32,69,10.2,4,3.35,1,no
2288,AL,136,no,no,91,18.6,111,17.64,107,6.08,5,3.13,0,no
2289,SC,209,no,no,124,43.37,110,19.6,69,9.81,5,2.3,3,yes
2290,WI,66,yes,no,84,35.48,88,14.73,107,11.91,3,2.24,3,no
2291,VT,152,no,yes,108,36.48,82,8.21,145,7.68,5,2.13,1,no
2292,CT,162,no,no,121,8.36,136,12.23,97,9.14,13,3.27,1,no
2293,OR,72,no,no,133,24.02,96,11.47,97,10.24,3,3.02,2,no
2294,HI,101,no,no,89,43.04,114,20.22,85,6.94,7,2.62,4,no
2295,WV,125,no,no,128,35.02,71,16.84,116,6.12,3,3.56,0,no
2296,ME,193,no,yes,58,12.1,105,10.6,108,7.0,3,3.16,0,no
2297,WV,63,no,no,69,44.51,135,20.83,94,9.09,4,3.97,0,yes
2298,NE,124,no,no,134,32.52,113,22.23,111,8.2,3,2.7,1,no
2299,DC,144,no,no,101,22.66,127,21.72,68,10.29,2,3.13,0,no
2300,NH,116,no,yes,138,31.21,90,17.32,89,7.51,3,1.62,2,no
2301,MD,189,no,yes,116,26.38,50,16.62,108,7.65,6,4.16,1,no
2302,NH,97,no,yes,93,48.13,98,15.76,78,14.08,8,1.65,1,no
2303,WV,137,no,yes,94,31.71,106,15.13,100,9.7,4,3.27,2,no
2304,IL,142,no,yes,104,27.76,114,11.56,127,11.21,6,1.16,0,no
2305,OK,84,no,no,125,34.58,88,15.55,121,9.62,2,3.73,1,no
2306,NH,119,no,yes,110,30.28,100,18.09,123,10.18,6,2.7,1,no
2307,MI,158,no,no,103,33.3,95,7.57,82,13.6,3,2.78,1,no
2308,HI,101,no,yes,95,19.4,86,13.73,90,7.93,9,3.51,2,no
2309,NJ,182,no,no,124,47.45,108,15.34,104,9.79,11,2.57,2,yes
2310,WV,51,no,no,111,28.78,69,11.86,87,8.87,3,3.24,0,no
2311,NC,117,no,no,94,36.45,149,11.73,102,6.69,1,2.67,2,no
2312,PA,92,yes,no,125,43.49,111,12.13,101,8.15,3,3.16,0,no
2313,MI,86,no,no,71,25.19,91,24.23,155,7.49,3,1.67,2,no
2314,WY,122,no,no,93,20.28,103,19.03,122,9.54,4,2.35,2,no
2315,NJ,127,no,no,91,41.68,92,18.46,128,10.94,6,3.75,0,yes
2316,NM,158,no,no,114,29.31,69,21.81,104,10.59,0,0.0,2,no
2317,MS,145,yes,yes,107,29.8,116,13.03,85,10.51,3,3.0,1,no
2318,OK,127,no,yes,113,0.44,102,21.59,156,10.92,5,2.48,3,no
2319,ID,109,no,no,143,31.3,105,17.99,116,10.93,2,2.67,1,no
2320,AL,88,no,no,90,30.92,87,12.88,100,6.44,3,2.03,1,no
2321,HI,171,no,no,122,32.27,85,14.76,84,11.57,1,2.78,0,no
2322,VA,21,no,no,142,37.94,114,18.4,111,9.66,2,3.35,1,no
2323,WV,145,no,yes,94,36.72,123,19.13,109,10.56,1,2.89,2,no
2324,DE,90,no,no,124,33.75,100,22.66,80,10.95,7,2.16,2,no
2325,CA,33,no,no,115,27.12,118,16.61,86,4.61,7,1.92,1,no
2326,PA,61,no,yes,78,17.85,100,15.35,115,7.83,2,2.75,2,yes
2327,CO,107,no,no,108,34.77,110,13.8,102,6.98,1,3.62,3,no
2328,MD,147,no,no,92,46.58,82,19.7,83,12.76,1,1.67,0,yes
2329,KS,186,no,no,97,23.43,118,15.95,85,6.59,6,2.35,1,no
2330,MI,128,no,no,94,30.5,92,22.98,88,8.59,4,2.13,0,no
2331,AK,55,no,yes,101,23.68,117,15.16,104,11.09,1,2.19,3,no
2332,OH,134,no,no,86,1.33,100,14.57,80,8.39,2,3.48,2,no
2333,IN,96,no,yes,88,31.13,89,12.53,108,15.76,7,3.05,1,no
2334,KS,123,no,no,106,23.8,101,13.06,87,2.25,1,3.38,2,no
2335,OK,35,no,no,59,30.46,101,24.08,83,12.84,7,1.57,2,no
2336,WI,74,no,no,136,30.16,104,20.43,133,10.68,3,3.24,0,no
2337,IN,130,no,no,129,19.65,104,14.26,124,6.38,9,3.4,1,no
2338,IL,137,yes,no,103,40.34,84,15.02,81,11.85,4,3.83,0,yes
2339,DC,80,no,no,90,8.76,98,13.94,80,7.62,4,2.57,3,no
2340,NC,116,no,yes,104,26.47,118,15.76,116,8.67,2,2.21,3,no
2341,RI,123,no,yes,88,41.65,105,22.53,108,10.79,3,4.02,2,no
2342,VA,146,yes,no,126,18.89,95,26.64,82,9.71,6,2.84,1,no
2343,NV,121,no,yes,85,19.72,120,12.76,98,11.11,2,3.24,1,no
2344,WI,137,no,no,81,26.44,94,11.31,77,11.39,2,2.46,1,no
2345,NE,67,no,yes,68,29.78,73,16.93,99,9.89,6,3.56,1,no
2346,WI,161,no,no,84,26.3,125,15.11,90,7.78,2,1.59,4,yes
2347,NJ,134,no,yes,105,42.02,133,19.17,76,8.38,5,1.65,2,yes
2348,WY,120,no,yes,81,38.68,71,19.97,128,7.49,13,2.43,1,no
2349,IN,130,no,yes,117,31.45,141,21.21,103,7.1,7,2.0,0,no
2350,VT,68,no,no,119,27.0,105,18.0,101,8.91,3,2.78,1,no
2351,IN,77,no,no,95,31.6,98,18.02,81,12.7,4,3.05,3,no
2352,SC,109,no,no,74,37.83,75,14.42,94,11.89,3,2.43,2,no
2353,IN,108,no,no,101,34.19,86,14.51,113,10.68,3,3.13,3,no
2354,IA,79,no,yes,114,28.54,93,20.71,114,9.54,2,2.46,1,no
2355,MD,119,no,no,88,40.65,79,20.7,92,10.39,3,2.94,3,yes
2356,MN,38,no,no,109,29.87,97,18.0,109,6.21,3,2.48,5,yes
2357,AR,109,no,yes,90,18.9,98,22.4,128,10.11,6,2.43,6,yes
2358,MS,78,no,no,74,14.91,58,18.26,147,9.06,6,2.92,1,no
2359,MN,134,no,no,99,41.5,111,20.99,133,9.0,2,1.94,0,no
2360,WA,47,no,yes,89,28.05,118,10.82,95,12.8,4,2.08,2,no
2361,MS,59,no,yes,110,21.66,99,8.78,73,7.39,3,2.46,0,no
2362,ID,151,no,no,106,33.12,103,24.88,82,10.11,3,1.49,0,no
2363,NC,129,no,no,131,9.3,105,21.77,135,7.95,4,3.0,1,no
2364,MI,76,no,no,142,15.39,75,17.99,76,8.77,2,2.51,1,no
2365,HI,24,no,no,132,40.05,129,9.85,136,8.34,2,4.37,0,no
2366,NC,169,no,no,82,24.23,110,19.67,67,5.9,4,2.7,2,no
2367,MN,30,no,no,68,9.18,96,15.24,101,11.12,8,2.75,1,no
2368,WV,70,no,no,87,36.52,114,11.14,104,9.76,3,2.54,3,no
2369,SD,52,yes,no,118,42.74,80,16.71,53,8.64,2,2.97,0,yes
2370,HI,3,no,no,99,23.63,108,21.31,87,12.88,3,1.65,4,no
2371,MS,38,no,no,114,19.94,105,17.74,98,9.15,2,3.89,2,no
2372,NY,104,no,no,108,44.88,75,11.24,91,8.0,8,2.86,3,no
2373,LA,27,no,no,105,14.04,99,17.34,122,10.09,4,2.46,1,no
2374,KS,166,yes,yes,126,29.89,76,21.56,72,5.78,5,3.08,1,no
2375,MA,13,no,no,100,37.47,79,17.95,112,11.67,8,3.67,2,no
2376,AK,52,no,no,104,36.89,83,12.95,109,6.04,4,3.19,2,no
2377,SD,114,no,yes,77,21.93,110,24.65,110,7.97,5,3.13,1,no
2378,CO,156,no,no,106,25.59,112,13.0,86,9.72,3,0.95,1,no
2379,WV,62,no,no,122,32.22,95,8.82,106,8.13,5,2.92,2,no
2380,AZ,82,no,yes,95,23.43,128,20.02,70,12.06,6,2.97,2,no
2381,ME,52,no,no,80,21.98,101,12.13,89,11.62,4,3.32,3,no
2382,NH,146,no,no,77,19.65,100,18.16,72,9.83,6,2.89,1,no
2383,RI,120,no,yes,114,37.72,84,21.65,117,11.27,5,1.94,2,no
2384,ID,130,no,no,113,44.83,103,15.85,99,8.79,6,4.94,1,yes
2385,WI,90,no,no,91,10.42,94,16.52,80,6.44,9,3.08,1,no
2386,NM,147,yes,no,113,31.25,110,14.0,87,5.0,4,2.73,1,no
2387,WY,159,no,no,68,28.46,74,12.22,111,6.3,3,2.78,0,yes
2388,IL,74,no,yes,122,26.2,150,16.6,86,12.45,2,3.56,4,no
2389,TX,130,no,no,101,42.84,105,14.47,64,9.41,5,1.54,0,no
2390,RI,155,yes,no,94,27.73,108,24.79,111,4.34,3,3.02,0,no
2391,MI,87,no,no,80,33.71,89,15.9,96,6.01,4,4.48,2,no
2392,OR,81,no,no,48,55.2,82,20.09,78,8.44,5,3.54,0,yes
2393,VA,99,no,no,78,21.81,120,18.3,140,6.47,9,3.86,2,no
2394,SD,131,no,no,110,31.94,101,17.04,125,9.12,11,2.75,2,no
2395,AL,89,no,no,71,21.96,68,18.2,100,9.67,4,2.78,5,yes
2396,MS,123,yes,no,106,21.34,96,10.96,129,11.34,6,1.7,4,yes
2397,MS,130,no,yes,108,43.72,122,19.07,118,9.18,4,3.4,1,no
2398,HI,99,no,no,90,21.18,70,12.44,95,7.62,6,2.84,1,no
2399,WV,36,no,no,144,29.77,69,18.44,146,10.97,3,2.67,1,no
2400,WV,87,no,no,91,21.13,105,14.74,109,11.53,5,2.03,3,no
2401,WV,139,no,no,130,46.17,131,13.26,108,6.13,9,3.13,2,no
2402,NM,96,no,yes,115,31.16,87,17.12,84,7.98,15,2.81,3,no
2403,DE,112,no,no,119,17.19,67,18.22,112,8.08,5,2.78,2,no
2404,NC,75,no,no,70,34.56,97,19.46,118,10.0,3,3.86,1,no
2405,NM,178,no,yes,88,29.82,65,16.15,94,6.24,3,2.84,2,no
2406,SC,112,no,no,97,45.22,94,18.24,100,13.78,2,3.83,2,yes
2407,NJ,108,no,yes,110,29.17,78,11.57,103,8.25,7,2.92,0,no
2408,AZ,100,no,no,98,13.38,102,19.18,106,6.77,8,3.78,0,no
2409,RI,121,no,yes,110,36.02,120,18.28,107,10.73,2,2.54,0,no
2410,SD,116,no,no,101,10.83,95,16.64,87,9.45,6,2.7,1,no
2411,NH,161,no,no,100,29.48,74,18.16,69,6.37,4,3.11,1,no
2412,WV,104,no,no,123,38.4,106,13.84,85,12.24,4,2.73,1,no
2413,ID,119,yes,yes,101,29.41,93,17.8,91,10.4,4,3.29,0,no
2414,MD,125,no,no,102,38.23,87,12.22,105,8.95,2,2.16,0,no
2415,WY,109,no,no,128,23.29,116,18.45,86,8.19,5,2.7,2,no
2416,NH,95,no,no,109,24.23,107,14.97,88,8.53,3,2.21,2,no
2417,MN,90,no,no,126,24.21,118,10.73,71,12.34,4,1.24,1,no
2418,MA,105,no,yes,112,24.99,43,16.77,93,12.03,3,2.35,2,no
2419,MN,95,no,no,96,25.36,116,22.16,120,9.05,2,2.19,1,no
2420,NY,160,no,no,77,36.86,117,17.62,117,10.29,2,1.51,1,no
2421,AL,141,no,yes,123,52.36,128,21.06,103,6.88,3,2.0,1,no
2422,WV,87,no,no,125,9.86,116,5.74,136,8.37,3,3.11,0,no
2423,NM,81,no,no,80,29.44,94,20.08,84,10.81,6,3.19,2,no
2424,CA,75,no,yes,90,35.75,87,20.55,102,9.71,3,3.54,4,no
2425,MA,126,no,yes,125,10.01,90,25.97,73,7.15,6,3.27,0,no
2426,ME,28,no,no,102,40.26,87,14.2,115,12.61,3,2.62,3,no
2427,FL,153,no,no,102,38.91,136,13.66,109,9.14,2,3.38,0,no
2428,MA,17,yes,no,118,27.68,91,19.52,94,14.97,3,3.67,0,yes
2429,TX,121,no,no,100,14.64,113,22.08,79,6.66,9,2.46,2,no
2430,NC,125,no,no,89,36.09,127,18.31,73,8.41,2,3.05,2,no
2431,CT,124,no,no,98,25.67,119,10.25,81,6.88,2,2.48,2,no
2432,NJ,35,no,no,67,26.96,96,11.08,80,10.34,5,1.86,2,no
2433,WY,134,no,no,93,50.32,117,19.24,98,11.11,10,3.32,0,yes
2434,LA,123,no,yes,77,36.09,78,21.38,85,9.39,2,1.78,3,no
2435,NV,124,no,no,61,39.85,111,15.24,117,12.85,6,2.81,3,no
2436,WV,133,no,no,92,30.06,97,15.94,88,8.86,3,1.76,2,no
2437,AR,185,no,yes,123,26.74,94,21.9,107,8.57,6,2.59,0,no
2438,KS,107,no,no,108,44.29,110,8.7,148,5.84,5,2.65,1,no
2439,MI,178,yes,no,134,21.17,78,12.0,113,12.07,2,3.08,2,yes
2440,MA,123,no,no,49,35.6,117,20.18,98,10.76,11,2.65,1,no
2441,UT,170,no,no,44,48.57,144,14.24,97,11.7,4,2.35,1,yes
2442,HI,135,no,no,44,32.45,109,13.72,100,10.44,2,2.27,1,no
2443,OR,134,no,yes,130,35.5,104,11.3,107,6.15,4,3.0,2,no
2444,TN,148,no,yes,141,13.19,60,17.6,115,11.51,2,2.94,1,no
2445,CT,93,no,no,101,46.09,133,20.18,103,6.54,6,2.27,1,yes
2446,AZ,138,no,no,104,40.94,92,12.28,98,5.66,1,3.13,0,no
2447,OR,159,no,no,98,19.52,101,16.37,108,11.66,5,3.29,0,no
2448,DE,103,no,yes,80,23.6,108,12.07,77,8.27,7,3.19,1,no
2449,MA,150,no,yes,112,35.67,80,13.18,111,11.32,6,1.94,0,no
2450,CT,37,no,no,98,22.93,130,21.11,113,10.63,2,3.97,3,no
2451,AR,33,yes,no,99,27.88,102,13.01,104,5.57,4,1.73,0,no
2452,SD,55,no,no,130,41.74,54,16.38,83,6.38,4,2.46,1,no
2453,CT,134,no,yes,94,13.65,124,16.99,117,7.69,3,4.48,0,no
2454,CT,107,no,no,90,15.42,109,17.64,96,7.62,5,1.51,2,no
2455,MA,80,no,yes,115,32.35,78,21.81,145,9.67,4,1.03,1,no
2456,MS,78,no,no,108,18.46,126,17.84,117,10.02,5,2.13,1,yes
2457,AK,61,no,yes,106,42.91,69,15.96,137,11.68,3,2.7,2,no
2458,DE,97,no,yes,94,31.18,120,22.87,38,9.16,4,1.81,5,no
2459,OH,136,yes,no,103,31.18,113,12.06,122,9.02,9,2.81,2,no
2460,MN,135,no,no,100,26.38,84,11.55,82,8.31,9,1.03,3,no
2461,CA,87,no,yes,122,28.19,89,15.89,78,11.24,0,0.0,1,no
2462,OH,165,no,no,67,35.6,89,23.27,88,6.76,1,3.46,0,no
2463,NV,148,no,no,104,47.48,87,17.14,99,12.64,2,2.13,2,yes
2464,NM,127,yes,no,87,43.61,101,18.88,122,7.05,3,3.51,1,no
2465,WY,151,no,no,89,28.93,83,15.94,100,5.38,3,1.16,0,no
2466,CA,185,no,no,92,23.73,115,21.27,79,7.11,4,2.92,1,no
2467,KS,65,no,yes,119,35.5,106,12.08,87,9.66,4,3.38,4,no
2468,WY,58,no,no,126,35.72,108,21.16,88,7.14,2,3.89,4,no
2469,UT,44,no,no,89,34.44,96,13.86,151,12.06,3,2.24,0,no
2470,MA,58,no,no,112,29.65,122,22.59,87,8.21,0,0.0,4,no
2471,UT,108,no,no,117,35.8,103,13.96,68,9.06,5,2.54,0,no
2472,MN,132,no,no,88,20.66,124,21.51,120,8.81,4,2.89,1,no
2473,NE,80,no,no,67,21.73,112,15.44,63,8.88,2,4.29,2,no
2474,OH,162,no,no,98,22.98,107,20.57,96,11.11,2,2.75,2,no
2475,KY,110,no,no,62,16.9,86,23.38,94,9.54,3,4.51,2,no
2476,WA,96,no,no,105,47.07,94,20.99,107,11.45,3,2.78,1,yes
2477,IN,72,no,no,116,48.86,126,20.0,114,13.14,3,1.35,4,yes
2478,CO,125,no,yes,104,20.49,115,19.36,100,7.13,3,2.75,1,no
2479,DC,170,no,no,106,31.3,70,17.42,133,10.09,3,2.65,2,no
2480,AK,71,no,no,84,31.45,129,19.76,82,8.6,4,4.02,3,no
2481,SC,124,no,no,109,27.35,152,12.26,97,5.42,12,3.48,1,no
2482,UT,97,no,no,134,35.56,0,0.0,94,7.89,6,3.19,1,no
2483,IL,98,yes,no,71,26.93,66,26.06,93,6.49,4,0.57,1,no
2484,DC,24,no,no,73,25.33,81,11.14,69,10.74,3,2.32,2,yes
2485,DC,136,no,no,63,34.77,95,17.75,119,10.08,2,2.65,0,no
2486,OK,44,no,no,86,49.1,87,14.95,106,9.69,2,2.57,0,yes
2487,KY,96,no,yes,90,18.46,154,17.54,118,5.68,4,3.62,0,no
2488,NE,31,no,no,129,16.58,78,22.13,100,3.99,5,1.89,1,no
2489,AL,72,no,no,102,28.31,103,22.19,85,11.82,5,3.59,0,no
2490,HI,24,no,no,104,26.55,101,7.65,116,9.23,5,1.97,1,no
2491,GA,117,yes,no,118,48.86,84,22.07,86,6.89,3,2.7,1,yes
2492,KS,137,no,yes,96,29.8,146,20.51,109,9.51,2,2.11,0,no
2493,PA,136,no,no,75,17.36,97,18.66,92,3.32,5,2.65,0,no
2494,UT,95,no,no,103,26.84,90,22.07,117,10.35,2,3.78,0,no
2495,OR,82,no,yes,73,24.91,65,20.94,114,8.96,4,1.11,1,no
2496,ND,145,no,no,116,41.79,91,24.37,115,10.83,13,2.43,1,yes
2497,MN,155,yes,no,146,42.64,105,12.96,104,6.66,5,2.7,2,no
2498,TX,53,no,no,113,20.35,84,16.12,108,11.53,7,3.48,2,no
2499,WY,123,no,no,87,41.17,101,19.22,121,12.09,3,2.21,5,yes
2500,GA,136,no,no,83,27.78,119,21.19,90,11.24,4,2.65,7,no
2501,TX,57,no,no,113,27.37,134,17.68,81,9.36,4,2.27,3,no
2502,WV,62,no,no,111,21.88,104,14.41,97,8.71,5,2.78,1,no
2503,NM,112,no,no,94,13.87,112,22.79,75,6.34,18,2.32,1,no
2504,MI,55,no,yes,91,35.31,113,16.97,110,9.74,1,1.97,1,no
2505,NY,125,no,no,65,39.66,93,17.83,109,9.48,4,2.46,1,no
2506,KY,98,no,yes,81,28.56,125,13.87,120,7.77,2,2.16,6,yes
2507,SD,105,no,no,88,42.77,103,14.88,112,8.3,5,1.46,1,no
2508,ID,113,no,yes,102,31.25,123,15.59,52,10.58,7,3.13,0,no
2509,OR,99,no,no,44,43.59,105,18.23,75,10.52,1,2.13,3,yes
2510,WI,103,no,no,134,30.63,85,8.3,134,8.18,3,2.27,1,no
2511,WV,177,no,no,81,38.73,97,13.75,106,9.76,5,2.16,1,no
2512,SC,149,no,yes,132,25.13,94,23.53,110,6.75,6,2.75,0,no
2513,CT,160,no,no,136,39.93,134,23.02,101,9.87,2,3.75,1,yes
2514,NV,116,no,no,54,18.85,82,18.14,116,8.38,2,2.13,2,no
2515,MI,148,yes,no,81,39.7,71,15.95,97,5.5,2,2.59,0,yes
2516,MT,147,no,yes,134,33.54,99,11.99,90,9.54,4,2.73,2,yes
2517,NE,95,no,no,96,9.89,126,17.18,97,9.47,5,2.81,0,no
2518,UT,201,no,no,72,36.16,90,19.14,99,8.78,6,1.89,1,no
2519,WV,80,no,no,89,25.76,78,11.19,131,10.59,4,3.19,0,no
2520,AR,122,yes,no,117,24.87,93,18.59,97,10.62,5,3.11,1,no
2521,MT,132,no,no,100,33.17,95,12.65,117,10.1,2,1.81,0,no
2522,UT,83,no,no,71,35.51,92,18.26,108,11.16,5,3.51,1,no
2523,HI,99,no,no,107,23.07,103,17.71,95,9.4,3,2.38,7,yes
2524,KS,84,no,no,86,38.4,105,23.43,108,9.06,3,3.86,3,yes
2525,OH,87,no,no,106,26.06,117,19.08,152,12.3,5,2.4,2,no
2526,IN,7,no,no,87,35.14,83,23.89,77,7.13,5,2.97,3,no
2527,OR,89,no,yes,105,31.96,107,12.86,132,9.09,3,2.84,2,no
2528,NY,131,yes,no,83,20.79,94,10.1,95,6.66,3,3.7,3,yes
2529,VA,105,no,no,96,44.08,97,14.89,36,10.01,5,3.24,3,no
2530,MI,108,yes,no,114,19.57,70,17.96,85,6.12,3,3.73,2,yes
2531,ID,47,no,yes,109,29.39,94,11.7,109,9.17,6,2.24,1,no
2532,MO,101,yes,no,116,26.59,114,11.08,109,9.33,5,1.97,1,no
2533,AL,182,no,yes,104,21.78,127,12.19,98,8.59,3,3.13,1,no
2534,VT,128,no,no,130,38.74,71,25.72,82,8.62,7,1.49,1,yes
2535,AZ,69,no,yes,63,33.13,90,16.29,129,6.89,2,3.56,2,no
2536,VA,113,no,yes,63,7.63,82,11.41,118,7.58,3,3.59,1,no
2537,PA,87,no,yes,114,44.68,130,18.34,88,6.97,2,2.11,0,no
2538,CO,71,no,no,70,35.9,122,21.48,104,10.16,3,3.32,0,no
2539,NJ,87,no,no,109,37.94,86,10.84,83,13.02,4,3.92,3,no
2540,IL,117,no,no,82,20.23,108,15.94,97,8.52,3,3.11,1,no
2541,WA,177,no,no,91,45.24,79,19.14,58,10.11,8,2.4,3,yes
2542,OH,66,no,no,103,28.99,77,21.62,138,8.88,2,2.84,2,no
2543,MO,110,no,no,124,30.35,141,12.49,102,9.77,7,2.67,1,no
2544,MD,204,no,no,145,34.88,95,13.16,77,8.61,5,3.81,3,no
2545,OH,32,no,yes,97,39.58,111,15.6,111,9.31,2,3.51,0,no
2546,VA,133,no,yes,107,40.78,77,21.57,85,5.79,3,1.81,5,no
2547,FL,185,no,no,97,9.45,83,24.54,110,5.0,3,3.27,2,no
2548,NY,91,no,no,100,18.67,104,16.12,85,9.3,3,3.0,1,no
2549,WV,131,no,no,89,33.34,87,15.77,132,11.25,6,1.4,2,no
2550,LA,153,no,no,127,28.36,121,12.2,130,9.48,4,3.19,0,no
2551,AL,141,no,no,90,41.28,80,19.9,104,9.52,3,1.62,5,no
2552,TX,169,no,no,105,45.34,88,13.45,111,12.95,3,3.73,3,yes
2553,ND,127,no,yes,80,30.94,85,18.37,82,7.06,4,2.65,1,no
2554,CO,57,no,no,92,14.6,127,16.48,93,10.42,2,2.73,0,no
2555,LA,123,no,yes,87,24.92,59,9.76,99,9.92,7,0.78,0,no
2556,MT,103,no,yes,101,18.79,81,17.71,77,3.93,2,3.75,4,yes
2557,OR,101,no,no,89,20.16,97,16.97,61,2.4,5,3.11,1,no
2558,NH,123,no,yes,105,33.59,86,6.8,82,5.44,12,4.21,2,no
2559,NE,78,no,yes,116,35.75,83,16.34,92,11.07,4,2.92,6,no
2560,WV,101,no,yes,96,37.45,72,24.29,111,9.14,6,2.54,4,no
2561,MA,67,no,yes,114,27.49,115,17.65,114,9.26,4,2.48,0,no
2562,KY,64,yes,no,83,24.94,91,12.61,69,10.74,3,3.38,3,no
2563,WV,173,no,no,103,18.6,111,8.61,106,7.53,7,2.11,1,no
2564,KY,135,no,no,115,24.5,68,21.23,82,9.51,3,3.67,1,no
2565,NJ,75,no,yes,93,42.31,108,14.52,91,4.7,8,3.02,1,no
2566,ME,88,no,no,112,14.57,70,18.84,75,8.58,3,3.13,4,yes
2567,TX,112,no,no,112,36.52,104,17.82,97,7.4,5,2.54,3,no
2568,MN,113,no,no,137,27.01,109,20.64,97,11.15,4,1.76,0,no
2569,VA,121,no,yes,94,18.7,76,12.03,87,10.68,3,1.73,2,no
2570,DC,70,no,no,145,25.98,102,15.61,75,6.83,2,2.84,1,no
2571,MD,90,no,no,103,24.75,137,16.75,83,13.25,4,2.84,0,no
2572,RI,39,no,no,83,15.86,114,16.97,104,9.28,4,1.76,0,no
2573,MA,142,no,no,134,36.86,106,15.96,108,6.21,2,2.24,0,no
2574,MD,176,no,no,101,34.32,78,13.15,79,7.4,2,2.43,1,no
2575,NM,105,no,no,81,24.89,80,19.13,117,10.35,2,2.3,1,no
2576,MN,57,no,no,74,46.36,85,19.12,104,8.02,3,2.84,2,yes
2577,AZ,88,no,no,81,29.38,90,16.44,107,4.03,5,3.46,2,no
2578,AL,95,no,no,119,32.33,70,13.35,120,8.17,6,3.78,0,no
2579,MI,147,no,no,83,22.2,144,17.69,72,9.21,3,4.21,3,no
2580,SC,101,no,no,92,26.93,117,15.98,125,9.89,4,3.65,4,yes
2581,MS,115,no,no,111,28.31,98,20.08,92,9.25,2,4.21,1,no
2582,MS,103,no,no,103,21.98,89,17.24,126,10.49,2,3.48,2,no
2583,CA,82,no,no,112,33.88,120,16.44,117,11.45,10,1.89,0,no
2584,MD,141,no,no,126,31.47,98,19.81,106,6.85,7,2.46,0,no
2585,ND,149,no,no,80,29.82,127,16.78,102,8.47,2,2.62,2,no
2586,IL,131,no,no,123,44.78,74,12.91,101,9.83,2,2.89,2,no
2587,SD,119,no,no,108,16.01,100,22.45,79,9.17,3,1.97,1,no
2588,AL,112,no,no,83,32.2,89,18.62,116,7.56,8,1.92,3,no
2589,NV,116,no,yes,103,20.06,106,14.21,102,9.26,2,3.19,2,no
2590,LA,94,no,no,98,36.06,89,16.1,95,15.85,5,2.27,3,no
2591,DE,114,no,yes,98,37.88,105,15.34,101,6.81,4,3.51,0,no
2592,CT,63,no,yes,137,32.3,76,9.91,110,6.37,2,3.29,1,no
2593,CO,130,no,no,129,46.21,128,20.16,91,9.45,2,2.35,4,yes
2594,MA,122,no,yes,83,33.22,93,22.8,95,7.56,6,2.27,3,no
2595,OR,166,no,no,93,33.93,99,18.22,110,8.86,5,1.94,3,no
2596,SC,78,no,yes,85,27.3,79,18.96,92,5.58,1,2.57,2,no
2597,IN,148,no,yes,91,26.98,127,13.64,88,9.82,3,2.67,1,no
